"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
11596.158756494522,23.95194610583173,19.999663111768267,0.1588151826636357,196.64384153094977,0.039703795665908925,49.16096038273744,""
11597.283756494522,23.944681798287895,19.99967533678489,0.15885713643763882,196.82255580944212,0.039714284109409706,49.20563895236053,""
11598.408756494522,23.937417490744053,19.999679986339444,0.15889909021164195,197.00127008793447,0.03972477255291049,49.25031752198362,""
11600.658756494522,23.922888875656383,19.999689285448568,0.15897563102997272,197.3588791493313,0.03974390775749318,49.339719787332825,""
11602.908756494522,23.908360260568706,19.999698584557684,0.15904728814579097,197.71665493340402,0.03976182203644774,49.429163733351004,""
11604.033756494522,23.90126431831325,19.999703234112246,0.15907954747094247,197.89561942430885,0.03976988686773562,49.47390485607721,""
11605.158756494522,23.910163078453895,19.9997078836668,0.15911180679609396,198.07458391521365,0.03977795169902349,49.51864597880341,""
11607.408756494522,23.92796059873518,19.999717182775925,0.15917125656221984,198.43265236149176,0.03979281414055496,49.60816309037294,""
11610.158756494522,23.949713123523424,19.999728548353733,0.15923426409241867,198.87045995239188,0.03980856602310467,49.71761498809797,""
11612.158756494522,23.965533141551237,19.999736814228505,0.1592749806597244,199.18896919714402,0.0398187451649311,49.797242299286005,""
11614.908756494522,23.987285666339474,19.999748179806318,0.159323498240919,199.6270421056324,0.03983087456022975,49.9067605264081,""
11617.908756494522,24.011015693381196,19.999760578618478,0.15936528261204735,200.10507527691186,0.03984132065301184,50.026268819227965,""
11620.158756494522,24.02881321366248,19.999769877727594,0.15938943798028912,200.46367433757825,0.03984735949507228,50.115918584394564,""
11622.908756494522,24.050565738450725,19.999942831683498,0.15941199179149165,200.90202630351442,0.03985299794787291,50.225506575878605,""
11625.908756494522,24.074295765492444,20.0001315087263,0.15942551451954112,201.38028256298097,0.03985637862988528,50.34507064074524,""
11628.158756494522,24.092093285773732,20.000273016508405,0.15942854823360295,201.73899338357828,0.039857137058400736,50.43474834589457,""
11630.158756494522,24.107913303801546,20.00039880120361,0.15942700816546093,202.05784893997736,0.03985675204136523,50.51446223499434,""
11631.666568994522,24.119840114267824,20.000493631071475,0.15942217186524543,202.2982301394266,0.03985554296631136,50.57455753485665,""
11632.666568994522,24.116461882482902,20.00055652341908,0.15941784525398614,202.45764956336927,0.039854461313496535,50.61441239084232,""
11633.666568994522,24.11308365069798,20.000538079142576,0.1594124339602746,202.61706474525215,0.03985310849006865,50.65426618631304,""
11634.666568994522,24.10970541891306,20.000517011104,0.15940571612086396,202.77647160431852,0.03985142903021599,50.69411790107963,""
11636.908756494522,24.102130789832806,20.000469772611268,0.15938781408396602,203.13387358401064,0.039846953520991504,50.78346839600266,""
11639.158756494522,24.094529768316733,20.000422369524482,0.15936262994661762,203.49246783354502,0.039840657486654406,50.873116958386255,""
11641.408756494522,24.08692874680066,20.000374966437697,0.1593326267438594,203.85099999732182,0.03983315668596485,50.962749999330455,""
11644.408756494522,24.076794051445894,20.00031176232198,0.15928372849002706,204.32892453017266,0.039820932122506765,51.082231132543164,""
11645.908756494522,24.071726703768512,20.000258772802756,0.15925395872771309,204.56780546826423,0.03981348968192827,51.141951367066056,""
11647.408756494522,24.06665935609113,20.000197306071563,0.15922418896539914,204.8066864063558,0.039806047241349785,51.20167160158895,""
11650.408756494522,24.056524660736365,20.000074372609184,0.15915565398057663,205.28425617077477,0.03978891349514416,51.32106404269369,""
11653.408756494522,24.0463899653816,19.999951439146805,0.15907650143847676,205.76160440390336,0.03976912535961919,51.44040110097584,""
11656.408756494522,24.03625527002683,19.999828505684427,0.1589878971830964,206.23870100183572,0.0397469742957741,51.55967525045893,""
11657.908756494522,24.03922421856463,19.999767038953234,0.1589385834461276,206.47710887700492,0.0397346458615319,51.61927721925123,""
11659.408756494522,24.04924703101746,19.999705572222044,0.1588892697091588,206.7155167521741,0.0397223174272897,51.678879188043524,""
11661.658756494522,24.064281249696705,19.99961337212526,0.15880854264892713,207.0728965184294,0.03970213566223178,51.76822412960735,""
11663.158756494522,24.07430406214954,19.999616722466424,0.1587522972474102,207.31106899487827,0.03968807431185255,51.82776724871957,""
